Parking ID,Car Park Name (English),Car Park Name (Traditional Chinese),Car Park Name (Simplified Chinese),Basic Information,Parking Vacancy Data
TDC102P1,Lei On Court Carpark,鯉安苑停車場,鲤安苑停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc102p1.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc102p1.json
TDC103P1,Science Park Car Park P1,科學園停車場 P1,科学园停车场 P1,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc103p1.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc103p1.json
TDC103P2,Science Park Car Park P2,科學園停車場 P2,科学园停车场 P2,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc103p2.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc103p2.json
TDC103P3,Science Park Car Park P3,科學園停車場 P3,科学园停车场 P3,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc103p3.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc103p3.json
TDC104P1,Pak Tin Estate (Shui Tin House) Carpark,白田邨（瑞田樓）停車場,白田邨（瑞田楼）停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc104p1.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc104p1.json
TDC108P1,Kingston International Centre,金利豐國際中心,金利丰国际中心,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc108p1.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc108p1.json
TDC10P1,Sai Kung Government Offices Carpark,西貢政府合署停車場,西贡政府合署停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc10p1.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc10p1.json
TDC10P2,Shatin Government Offices,沙田政府合署,沙田政府合署,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc10p2.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc10p2.json
TDC10P3,Cheung Sha Wan Government Offices Car Park,長沙灣政府合署停車場,长沙湾政府合署停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc10p3.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc10p3.json
TDC10P4,Revenue TowerWanchai Tower Immigration Tower,灣仔政府大樓、入境事務大樓及稅務大樓,湾仔政府大楼、入境事务大楼及稅务大楼,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc10p4.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc10p4.json
TDC10P6,Shun Lee Disciplined Services Quarters,順利紀律部隊宿舍,顺利纪律部队宿舍,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc10p6.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc10p6.json
TDC111P1,Trade and Industry Tower Car Park,工業貿易大樓停車場,工业贸易大楼停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc111p1.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc111p1.json
TDC113P1,Cyberport Carpark 1 & 2,數碼港停車場(一&二),数码港停车场(一&二),https://resource.data.one.gov.hk/td/carpark/basic_info_tdc113p1.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc113p1.json
TDC113P2,Cyberport Carpark 3,數碼港停車場(三),数码港停车场(三),https://resource.data.one.gov.hk/td/carpark/basic_info_tdc113p2.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc113p2.json
TDC114P1,Sun Yat Sen Memorial Park,中山紀念公園,中山纪念公园,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc114p1.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc114p1.json
TDC114P2,Sun Yat Sen Memorial Park Sports Centre,中山紀念公園體育館,中山纪念公园体育馆,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc114p2.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc114p2.json
TDC115P1,Choi Wan (II) Estate Car Park,彩雲(二)邨停車埸,彩云(二)邨停车埸,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc115p1.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc115p1.json
TDC117P1,Hong Kong Palace Museum Car Park,香港故宮文化博物館停車場,香港故宫文化博物馆停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc117p1.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc117p1.json
